YEAR,EVENT_ID,SITE_ID,STATION,POT_ID,SAMPLE_POT,all_Cnt_cc,all_Kg_cc,lrg_Cnt,lrg_Kg
1992,1992P04029,5,D,10,Sample,9,0.215,6,0.173937
1992,1992P04029,5,D,11,Sample,27,0.563,13,0.398214
1992,1992P04029,5,D,2,Sample,11,0.348,10,0.331372
1992,1992P04029,5,D,3,Sample,31,0.754,22,0.625562
1992,1992P04029,5,D,4,Sample,6,0.167,4,0.130816
1992,1992P04029,5,D,5,Sample,24,0.596,17,0.510508
1992,1992P04029,5,D,6,Sample,12,0.257,6,0.177436
1992,1992P04029,5,D,7,Sample,11,0.304,10,0.288782
1992,1992P04029,5,D,8,Sample,28,0.71,23,0.648857
1992,1992P04029,5,D,9,Sample,12,0.325,9,0.27969
1992,1992P04017,6,A,1,Sample,93,1.319,13,0.277389
1992,1992P04017,6,A,10,Sample,15,0.367,11,0.308448
1992,1992P04017,6,A,11,Sample,10,0.178,4,0.097489
1992,1992P04017,6,A,2,Sample,91,1.269,14,0.301149
1992,1992P04017,6,A,3,Sample,56,0.849,10,0.228465
1992,1992P04017,6,A,4,Sample,22,0.383,6,0.137601
1992,1992P04017,6,A,5,Sample,29,0.668,16,0.47056
1992,1992P04017,6,A,6,Sample,8,0.177,3,0.090871
1992,1992P04017,6,A,7,Sample,20,0.475,13,0.357742
1992,1992P04017,6,A,8,Sample,13,0.279,6,0.168007
1992,1992P04017,6,A,9,Sample,10,0.236,6,0.171851
1992,1992P04018,6,B,1,Sample,7,0.136,4,0.09081
1992,1992P04018,6,B,10,Sample,30,0.519,9,0.232695
1992,1992P04018,6,B,11,Sample,18,0.299,6,0.13256
1992,1992P04018,6,B,2,Sample,9,0.139,1,0.02936
1992,1992P04018,6,B,3,Sample,10,0.186,3,0.084399
1992,1992P04018,6,B,4,Sample,8,0.144,2,0.057269
1992,1992P04018,6,B,5,Sample,23,0.417,9,0.215061
1992,1992P04018,6,B,6,Sample,12,0.222,7,0.147035
1992,1992P04018,6,B,7,Sample,20,0.39,6,0.185204
1992,1992P04018,6,B,8,Sample,5,0.109,3,0.076238
1992,1992P04018,6,B,9,Sample,9,0.152,3,0.071096
1992,1992P04019,6,C,1,Sample,13,0.248,5,0.111094
1992,1992P04019,6,C,10,Sample,49,0.996,21,0.562285
1992,1992P04019,6,C,11,Sample,34,0.693,18,0.434399
1992,1992P04019,6,C,2,Sample,4,0.083,3,0.066744
1992,1992P04019,6,C,3,Sample,0,0,0,0
1992,1992P04019,6,C,4,Sample,0,0,0,0
1992,1992P04019,6,C,5,Sample,0,0,0,0
